word,count
"fares",1
"farest",1
"fareth",1
"farewell",23
"faring",2
"farrow",1
"fashion",29
"fashioned",7
"fashions",1
"fast",24
"faster",3
"fastness",1
"fate",5
"fated",3
"fateful",1
"father",8
"father-kind",1
"fathers",4
"father’s",1
"fathom",1
"fault",2
"favour",3
"fawn",3
"fear",107
"feared",21
"feareth",2
"fearful",4
"fearless",1
"fears",4
"fearsome",1
"feast",11
"feasted",3
"feasting",1
"feasts",1
"feather-robe",1
"feathers",1
"february",1
"fed",8
"feeble",9
"feeding",3
"feel",9
"feeling",1
"feet",78
"feign",3
"feigned",4
"feigning",1
"fell",162
"fellow",12
"fellow-farer",2
"fellow-worker",1
"fellows",30
"fellowship",21
"fellow’s",1
"felon",1
"felons",5
"felt",40
"female",1
"fence",1
"ferry",39
"fertile",1
"fetch",25
"fetched",14
"fetches",2
"fetching",2
"fetter",1
"fetters",2
"feud",1
"feuds",1
"fever",1
"few",36
"few-spoken",7
"fewer",1
"fiddle-bow",1
"fie",2
"field",13
"field-folk",1
"fiend",1
"fiends",1
"fierce",26
"fiercely",6
"fierceness",1
"fiercer",1
"fifteen",5
"fifteenth",1
"fifth",7
"fifty",3
"fight",4
"fighting",2
"fighting-men",1
"fill",3
"filled",4
"fills",2
"find",80
"finders",1
"finding",3
"fine",25
"fine-eared",1
"finely",1
"finer",1
"finery",1
"finest",1
"finger",16
"finger-ring",2
"fingers",10
"finished",1
"finishing",1
"fire",16
"fire-steel",1
"fireless",1
"fires",1
"firm",5
"firmer",1
"first",153
"first-comers",1
"firstborn",1
"fish",7
"fished",1
"fishing",4
"fishing-gear",1
"fist",1
"fit",2
"fitted",1
"five",49
"five-and-forty",2
"fixed",1
"flagging",1
"flaggy",2
"flagon",1
"flamed",2
"flames",1
"flaming",1
"flank",3
"flanks",2
"flapping",1
"flash",2
"flashed",3
"flashing",5
"flask",5
"flasket",11
"flasks",1
"flat",1
"flat-breasted",2
"flaunting",1
"flavour",1
"fleck",1
"flecked",2
"flecks",1
"fled",9
"fledst",1
"flee",14
"fleeing",11
"fleest",1
"fleet-foot",3
"fleetness",1
"flesh",33
"flew",4
"flies",1
"flight",4
"flint",3
"flitted",2
"float",1
"floated",6
"floating",1
"flock",6
"flock-meal",1
"flocking",1
"flockmeal",1
"flood",8
"flooded",1
"floor",21
"floorless",1
"floors",1
"flourished",1
"flourishing",1
"flow",1
"flowed",3
"flower",4
"flower-crowned",1
"flowers",15
"flowery",7
"flowing",1
"flushed",20
"flushing",2
"fluttering",3
"fly",3
"flying",3
"flyting",1
"foe",7
"foeman",1
"foemen",5
"foes",3
"fog",1
"foiled",1
"foison",2
"fold",1
"folded",1
"folds",3
"folk",117
"follow",23
"followed",22
"following",9
"folly",9
"fondled",1
"fondling",1
"fondly",3
"fondness",1
"food",2
"foodless",1
"fool",20
"foolish",10
"foolishly",1
"foolishness",1
"fools",7
"fool’s",3
"foot",34
"foot-gear",4
"foot-prints",1
"foot-soles",2
"footgear",1
"footpace",1
"footprints",2
"footstep",1
"footsteps",3
"foot’s",1
"foot’s-pace",1
"for",1468
"forbade",1
"forbear",11
"forbid",7
"forbidding",5
"forbore",5
"forborne",1
"force",6
"ford",4
"fordable",1
"fordone",2
"fore-arm",1
"foreboded",1
"forebodings",1
"forecast",1
"foregather",1
"foregathered",1
"forego",2
"foregone",1
"forehead",5
"foreign",1
"foremost",2
"foreseeing",1
"forest",10
"foretell",1
"foretold",1
"forfeit",1
"forgat",6
"forgathered",1
"forget",9
"forgetting",3
"forgive",4
"forgiven",3
"forgiveness",3
"forgotten",11
"fork",1
"forlornness",1
"form",1
"formed",1
"forsaken",3
"forsooth",121
"forsworn",2
"forth",139
"forthright",1
"forthwith",5
"fortunes",1
"forward",24
